b,v,text
0,8.9037612e-06,0-0
-.098410174,.000016279962,0-1
-.15599585,.000033260159,0-2
.020815108,.000014557785,1-0
-.052712351,.000015357924,1-1
-.11914108,.000025570538,1-2
.048861742,.000018572366,2-0
-.020228183,.000019694311,2-1
-.081993103,.00003056991,2-2
.077743307,.000028417344,3-0
.0063214297,.000031705848,3-1
-.047337838,.000037590846,3-2
