bstrike,vstrike,text
0,8.5886459e-06,0-0
-.08428105,.000022211534,0-1
-.13545385,.000034464101,0-2
.01220003,.000013118541,1-0
-.050418891,.000021759268,1-1
-.10189368,.000041232368,1-2
.042133026,.000022529395,2-0
-.03361382,.000025674432,2-1
-.069502451,.000044171305,2-2
.072419375,.000024411456,3-0
.0030467724,.000030797935,3-1
-.07205797,.000057172245,3-2
