b0,v0,b1,v1
0,0,.0084744925,1.5938666e-06
-.084436268,.000013682543,-.00023516447,7.6044917e-06
-.13561459,.000025934103,.0012258162,.000023957427
.012174547,4.5046968e-06,.0083876988,3.2590187e-06
-.05056534,.000013138639,.0072380593,7.3506690e-06
-.10210016,.000032703076,.0025180082,.000020287061
.042136163,.000013979312,.0056198789,8.3394098e-06
-.033718813,.000017135904,-.00043217416,.000012133176
-.069716834,.000035585155,.0063677276,.000024527508
.072473429,.000015807533,.0027624881,9.1660622e-06
.0030170577,.000022131333,.0092254365,.000015419722
-.072256222,.000048626211,.00073710934,.000030680014
